trade_id,book,symbol,side,expiry,K,lots,lot,entry_ts,exit_ts,exit_reason,dte_entry,fill_source,hedge_frequency,hedge_underlying,ce_sym,pe_sym,ce_open_mid,pe_open_mid,ce_open_fill,pe_open_fill,ce_close_mid,pe_close_mid,straddle_open,straddle_close,pnl_opt,pnl_hedge,costs,pnl,iv_entry,rv_forecast,vrp_var,vrp_pts,rv_windows,sold_var,path_real_var,remaining_var,notes
index-long-NIFTY-2026042410-2026-05-05,index,NIFTY,long,2026-05-05,24000.0,46,65,2026-04-24 10:00:00,2026-05-04 10:00:00,weekly_roll,11,mid+slip/mid+slip,1h,spot_as_fut_proxy,NSE-NIFTY-05May26-24000-CE,NSE-NIFTY-05May26-24000-PE,525.45,386.45,528.0772499999999,388.38224999999994,525.45,386.45,916.4594999999999,907.3405,-27265.809999999743,634698.7969973095,38652.62394026306,568780.3630570468,0.16546638251106313,0.18111479100747885,-0.005423443780385284,-1.5648408496415716,"5,20",0.000841737833479314,0.0005483532976487195,0.00029338453583059446,"ATM-F K=24000.00 long lots=46 hedge=1h/spot_as_fut_proxy windows=[5, 20]"
stock-short-BAJFINANCE-2026050410-2026-05-26,stock,BAJFINANCE,short,2026-05-26,960.0,1,125,2026-05-04 10:00:00,2026-05-05 09:00:00,running_hot,22,mid+slip/mid+slip,1h,BAJFINANCE_spot_proxy,NSE-BAJFINANCE-26May26-960-CE,NSE-BAJFINANCE-26May26-960-PE,28.35,28.0,28.20825,27.86,19.95,39.85,56.06825,60.099,-503.8437499999997,-175.75742731528715,25.589635349415026,-705.1908126647019,0.2995653438621776,0.23554423059728116,0.034258310675599535,6.402111326489643,"5,20",0.005461552288647241,0.0005303123953744738,0.004931239893272767,"ATM-F K=960.00 short lots=1 hedge=1h/BAJFINANCE_spot_proxy windows=[5, 20]"
index-short-NIFTY-2026050410-2026-05-12,index,NIFTY,short,2026-05-12,24250.0,9,65,2026-05-04 10:00:00,2026-05-07 14:00:00,iv_crush,8,mid+slip/mid+slip,1h,spot_as_fut_proxy,NSE-NIFTY-12May26-24250-CE,NSE-NIFTY-12May26-24250-PE,659.9,261.0,656.6005,259.695,659.9,261.0,916.2955,925.5044999999999,-5387.2649999999685,-55236.89791791128,4409.743433057288,-65033.90635096854,0.2163407603999423,0.14491598430679054,0.025802682102819278,7.142477609315176,"5,20",0.0010544896886332403,0.0002450599912406506,0.0008094296973925897,"ATM-F K=24250.00 short lots=9 hedge=1h/spot_as_fut_proxy windows=[5, 20]"
index-short-NIFTY-2026050810-2026-05-19,index,NIFTY,short,2026-05-19,24200.0,11,65,2026-05-08 10:00:00,2026-05-15 10:00:00,weekly_roll,11,mid+slip/mid+slip,1h,spot_as_fut_proxy,NSE-NIFTY-19May26-24200-CE,NSE-NIFTY-19May26-24200-PE,496.65,446.25,494.16675,444.01875,496.65,446.25,938.1855,947.6144999999999,-6741.7349999999,-98032.77638367105,6541.868485596131,-111316.37986926708,0.156048017738831,0.11824190448992306,0.01036983586281443,3.780611324890795,"5,20",0.0007486413580810963,0.0005101280560932766,0.00023851330198781972,"ATM-F K=24200.00 short lots=11 hedge=1h/spot_as_fut_proxy windows=[5, 20]"
stock-long-HDFCBANK-2026042410-2026-05-26,stock,HDFCBANK,long,2026-05-26,790.0,1,550,2026-04-24 10:00:00,2026-05-19 10:00:00,monthly_roll,32,mid+slip/mid+slip,1h,HDFCBANK_spot_proxy,NSE-HDFCBANK-26May26-790-CE,NSE-HDFCBANK-26May26-790-PE,24.55,23.55,24.672749999999997,23.667749999999998,4.8,38.0,48.34049999999999,42.586,-3164.9749999999963,11348.352902737828,376.4223956631948,7806.955507074636,0.25828881521111974,0.2950060314653083,-0.0203154465377465,-3.6717216254188556,"5,20",0.005886674900850711,0.004527763111005406,0.0013589117898453046,"ATM-F K=790.00 long lots=1 hedge=1h/HDFCBANK_spot_proxy windows=[5, 20]"
stock-long-ICICIBANK-2026042710-2026-05-26,stock,ICICIBANK,long,2026-05-26,1330.0,1,700,2026-04-27 10:00:00,2026-05-19 10:00:00,monthly_roll,29,mid+slip/mid+slip,1h,ICICIBANK_spot_proxy,NSE-ICICIBANK-26May26-1330-CE,NSE-ICICIBANK-26May26-1330-PE,32.9,34.9,33.064499999999995,35.07449999999999,18.95,50.9,68.13899999999998,69.50075,953.2250000000104,-14563.901195633014,495.08922047015164,-14105.765416103157,0.22790949491347323,0.27746705093121726,-0.025045226480752233,-4.955755601774403,"5,20",0.004156722634840031,0.0023256959729518172,0.0018310266618882139,"ATM-F K=1330.00 long lots=1 hedge=1h/ICICIBANK_spot_proxy windows=[5, 20]"
stock-short-KOTAKBANK-2026042710-2026-05-26,stock,KOTAKBANK,short,2026-05-26,380.0,1,400,2026-04-27 10:00:00,2026-05-19 10:00:00,monthly_roll,29,mid+slip/mid+slip,1h,KOTAKBANK_spot_proxy,NSE-KOTAKBANK-26May26-380-CE,NSE-KOTAKBANK-26May26-380-PE,12.3,12.9,12.2385,12.8355,14.0,2.4,25.073999999999998,16.482,3436.7999999999993,-3385.846165811327,136.62536636400552,-85.6715321753332,0.2957102997360842,0.24048212464576868,0.02961292909586173,5.522817509031553,"5,20",0.006997761103246445,0.004136091703756407,0.002861669399490038,"ATM-F K=380.00 short lots=1 hedge=1h/KOTAKBANK_spot_proxy windows=[5, 20]"
stock-long-RELIANCE-2026042710-2026-05-26,stock,RELIANCE,long,2026-05-26,1340.0,1,500,2026-04-27 10:00:00,2026-05-19 10:00:00,monthly_roll,29,mid+slip/mid+slip,1h,RELIANCE_spot_proxy,NSE-RELIANCE-26May26-1340-CE,NSE-RELIANCE-26May26-1340-PE,40.5,34.9,40.70249999999999,35.07449999999999,20.85,17.95,75.77699999999999,38.606,-18585.499999999993,14216.483989744997,410.0977732618564,-4779.113783516853,0.24997708319162185,0.2805453425776306,-0.01621714712100908,-3.056825938600874,"5,20",0.005000651642468082,0.0029525263005026644,0.002048125341965418,"ATM-F K=1340.00 long lots=1 hedge=1h/RELIANCE_spot_proxy windows=[5, 20]"
stock-long-AXISBANK-2026042810-2026-05-26,stock,AXISBANK,long,2026-05-26,1320.0,1,625,2026-04-28 10:00:00,2026-05-19 10:00:00,monthly_roll,28,mid+slip/mid+slip,1h,AXISBANK_spot_proxy,NSE-AXISBANK-26May26-1320-CE,NSE-AXISBANK-26May26-1320-PE,33.55,39.7,33.717749999999995,39.8985,16.75,53.25,73.61625,69.65,-2478.9062499999927,3822.7951560476286,580.4612308042288,763.4276752434071,0.2549262207298445,0.32955992219176267,-0.043622364299439276,-7.463370146191817,"5,20",0.005022695483181604,0.004059773477228096,0.0009629220059535083,"ATM-F K=1320.00 long lots=1 hedge=1h/AXISBANK_spot_proxy windows=[5, 20]"
stock-long-INFY-2026042810-2026-05-26,stock,INFY,long,2026-05-26,1160.0,1,400,2026-04-28 10:00:00,2026-05-19 10:00:00,monthly_roll,28,mid+slip/mid+slip,1h,INFY_spot_proxy,NSE-INFY-26May26-1160-CE,NSE-INFY-26May26-1160-PE,39.25,37.95,39.44625,38.13975,16.45,38.75,77.586,54.924,-9064.8,15563.46644872263,329.96977939051413,6168.696669332116,0.3006443852505816,0.5176582513689009,-0.177583018827608,-21.701386611831925,"5,20",0.006985765905119706,0.005659040089452364,0.0013267258156673426,"ATM-F K=1160.00 long lots=1 hedge=1h/INFY_spot_proxy windows=[5, 20]"
