book,n,n_short,n_long,hit,pnl,mean,costs,pnl_opt,pnl_hedge
index,19,15,4,0.42105263157894735,-692979.8512608486,-36472.62375057098,237021.54823575614,665079.025000002,-1121037.3280250947
stock,48,19,29,0.4375,-21120.27378979017,-440.0057039539619,16550.76138115403,7560.312903163263,-12129.825311799395
all,67,34,33,0.43283582089552236,-714100.1250506386,-10658.210821651322,253572.30961691015,672639.3379031653,-1133167.153336894
